name,,,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bolivia,Bolivia,Americas,https://public.flourish.studio/country-flags/svg/bo.svg,4727739746,4826516221,5095783597,5442175895,5657500838,5935478858,6361087691,6762931565,7339771963,7668160505,8069284228,8477859237,9153331417,9678655892,9963166545,10691575418.02808,11184945381.00811,11740973137.01598,11981979455,11997956711.04591,11833371991.06694,11865986701.72578,11398616583.32991,10937870662.80226,10915922108.40642,10732928705.49125,10456675549.28257,10714274143.17098,11026005730.83201,11443905787.91231,11974420933.71571,12605057005.51012,12812599040.09347,13359606833.34964,13983135101,14637304837.90413,15275687754.50702,16032477212.79376,16838807367.90874,16910689781.90016,17334777888.12624,17626660726.91173,18064782966.66484,18554580623.70884,19328918118.46568,20183533307.22299,21151739180.87678,22117185836.64301,23477060537.73512,24265185360.04637,25266542246.06119,26581436461.71759,27943010890.65327,29842021104.13964,31471565408.63124,33000198248.91461,34407300587.15242,35850757840.60679,37364958928.44147,38193230080.24632,34855949803.36436,36986126803,38319728337.57137,39500729033.68474,40047688830.42911
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,https://public.flourish.studio/country-flags/svg/ba.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3519825382,3190791226,2985402939,2920280897,3245365559,3763595298,5803437611,7929882642,9247541639,10128052806.59056,10676417585.10954,10935140618.72693,11484898712.32759,11929035686.01388,12683578944.50329,13177880591.46285,13891331517.23966,14704964355,15505477768,15039622521.67858,15169815910.70444,15315372000.55344,15189504687.29089,15546436275.29923,15725819000.02948,16404348871,16936219727.67668,17485647794.26274,18154910824.65925,18679105433.99119,18115912632,19454671753.54354,20276983961.36756,20681387156.84562,21194295295.92422
Botswana,Botswana,Africa,https://public.flourish.studio/country-flags/svg/bw.svg,203297646.3,216193392.8,230606288.1,244260590.4,260949209,276120678.8,293637827.4,311034576.4,343901775.9,395911433.3,463692530.4,583423075.8,737224722.5,894277062.4,972953727,1055131835,1167475696,1307713345,1495145304,1676784361,1877778848,2047996824,2297146530,2599146161,2821253171,3022275113,3269283371,3657737272,4369166056,4939753185,5274313873,5667709608,5833040675,5944807979,6160480628,6593587690,6977980666,7558959722,7592496073,8326480944,8491986059,8513264764,9029979997,9447697368,9703335214,10145481816,10994036837.14716,11630872553.11265,12009117014.18818,10310519328.35032,11353915358,12130342698.45486,12109617144.68735,13454136659.52951,14220638228.61593,13530748844.50496,14505561464.35589,15102375175.29161,15734967214.96858,16212015760.89989,14796887968.59796,16560125447.60959,17468616755.56272,18029021881.09497,17489977781.88621
Brazil,Brazil,Americas,https://public.flourish.studio/country-flags/svg/br.svg,188463862170.39767,204671754317.0521,218180090101.97736,219489170642.58936,226951802444.43716,232398645703.1036,247969354965.21176,258384067873.75076,283705706525.37823,310657748645.28894,342966154504.39905,381868537872.8793,427464970641.3383,4.87176E+11,526900425028.37024,554123521012.0237,610960688344.9481,641107493085.3328,672969879569.7726,718459683182.5168,784557974035.3065,751214260138.8094,757449338497.9581,735256072879.9681,774959900815.4856,835794253029.5046,898395242581.4131,930108594644.5356,929550529487.7496,958924326219.5654,917211118029.0122,9.26678E+11,921636677088.8896,967024426395.9844,1023623112443.654,1066858840298.126,1090424301689.8812,1127442527329.5132,1131254386851.733,1136547951100.233,1.18642E+12,1202909097020.6729,1239639467497.7605,1253781634016.713,1325999012757.6345,1368459252277.725,1422677453370.6987,1509032133942.1812,1585905180197.004,1.58391E+12,1703150236756.7844,1770840632844.1023,1804861597828.4792,1859094488272.1245,1868463501662.2988,1802212206814.504,1743173232416.6367,1766233131666.655,1797736844969.1604,1819683217699.3809,1760056587795.4631,1843881119920.2031,1.89951E+12,1961080794855.5967,2027676479714.6897
Brunei,Brunei Darussalam,Asia,https://public.flourish.studio/country-flags/svg/bn.svg,,,,,,,,,,,,,,,9912272228,9848309170,11904058996.81929,13086612365.66366,14005179257.87356,17413814222.96992,15723288076.09358,12203657713.49643,12484528553.61512,12534388933.99006,12236497439.35794,11880752592.07608,11238334123.95646,11472489785.51602,11296288038.48953,10988327004.53694,11278756571,11607042399.18278,11244830849.29826,11173577997.53121,11284501978.39854,11436537377,11433413457.78406,12158742942.45154,11349316035.55181,11832878891.64851,12244033124.21641,12423538058.83356,12915688955.24884,13378513489.23221,13392499178.55145,13391973497.68439,13940831828.21205,13416151408.81702,12892826139.07079,12647829712.46519,12994552805.37299,13481121671,13604222554.71756,13315162321.26066,12981233067.57553,12930296852,12609894729.68671,12777445744.24437,12784137427.31544,13278735782.13191,13429259999.61834,13215632370.10146,13000438059.97909,13147036744.64709,13699261291.49294
Bulgaria,Bulgaria,Europe,https://public.flourish.studio/country-flags/svg/bg.svg,,,,,,,,,,,,,,,,,,,,,30380971166.42855,31869687928.21901,32613706696.77829,33732456606.33037,34878160477.25385,35814095245.10963,37321009834.09321,39580615539.25716,43912592027.18558,42467919536.37955,38595959167.56899,35336393321.26602,32766593697.16425,32281577704.97506,32868460441.30376,33809162070.09286,35569061580.59743,30548353200.85649,31705867020.23199,29043813497.95805,30376118719.92641,31537611700.06585,33389478557.96514,35138136847.87862,37425778955,40066672613,42792243672.14939,45639805449.79981,48437324161,46816058447,47544216522.12982,48537973978.26451,48901433558,48636020243.47614,49097794444.06622,50765918159.14758,52302414125,53738599947.36832,55108646393.70113,57196630544,55357337083.97905,59664478253.80966,62074193826.54846,63245418926.90196,65023138713.89765
Burkina Faso,Burkina Faso,Africa,https://public.flourish.studio/country-flags/svg/bf.svg,1166782786,1213966642,1288368214,1272031494,1301069674,1350049032,1357307072,1477066551,1522423925,1553269468,1555087098,1577065764,1613519619,1620769605,1755073487,1807697310,1961982376,1969248648,2059988180,2135478950,2152496130,2244091371,2458675800,2467182444,2423298751,2629699951,2838902120,2832192750,2996335114,3060764327,3042310108,3318247161,3325969080,3441093673,3486344305,3685636779,4091600230,4350059855,4667950033,5013156038,5107828181,5445629584,5682675870,6126066307,6400419255,6954815456,7389711521,7693530570,8139754707,8380850242,9088720452,9690626654,10315931043.87457,10913490102.15288,11385699970.03002,11832159315.62978,12537116611.65406,13314855313.13015,14194244128.60654,15030172259.37908,15332394848.52006,16396850182.58891,16642350339.79317,17134994111.36482,17989191217.93155
Burundi,Burundi,Africa,https://public.flourish.studio/country-flags/svg/bi.svg,798536036.5,688768194.4,751192343.7,782257207.6,831328498.7,864309175.8,904179696.7,1029151062,1026085389,1011109250,1226735080,1260431391,1179713807,1260984889,1251819552,1260556254,1360677964,1516740284,1502474189,1527489708,1542627982,1730262074,1712032036,1775639625,1778401526,1987953782,2052565867,2165520540,2274468406,2305162408,2385838992,2505055464,2530356484,2372462239,2281596935,2100894458,1932822901,1902091017,1992440341,1972316693,1955416620,1995616214,2084351677,2058844882,2158362398,2177787659,2295688883,2374934883,2490397481,2585349995,2717827465,2827426576,2953153932,3098572840,3229972475,3104003546,3085379497,3100806433,3150727414,3207836407,3218331065,3318099328,3379450966,3469531570,3590591567
Cambodia,Cambodia,Asia,https://public.flourish.studio/country-flags/svg/kh.svg,,,,,,,,,,,,,,,,5104596992,5104596992,4355425545,4355425545,3796687002,3581475362,3582947066,3582947066,3741793667,3926341896,4109709289,4265911860,5184427494,5805361651,6007352428,6077176597,6538513179,6997355850,7284133440,4748625743,5218904416,5526689597,5748123107,6017229084,6781740973,7459479705,8010713671,8512590715,9387998415,10275886653.58491,11642922160,12917049054.09754,14260222987.89945,15326369460.34691,15950885068.86584,16760698493.04088,17981993293.90303,19357661918.85189,20878690156.78171,22549052336.92654,24174170369.07381,26085259688.33728,28191654621.94781,30665817313.84912,33099747943,31922812945.08807,32909177695.68368,34597385966.82052,36329791405,38515324291.02209
Cameroon,Cameroon,Africa,https://public.flourish.studio/country-flags/svg/cm.svg,4827329402,4884469574,5033033600,5221397415,5406608720,5516149517,5770717369,5141012904,5467278233,5735255756,5912593777,6118334765,6281929449,6618369537,7328802680,8152930849,7704916015,8763561577,10691808462.13209,11337071801.85347,11114265274.33131,13012879895.43017,13990954313.13408,14951689440.31014,16069264314.02335,17364955075.04497,18540851327.41092,18142844102.46146,16723414750.10317,16419195682.09924,15416689238,14829529308,14369813423.52172,13229990256.14008,13478291934,13868353888.05522,14452915010.38898,15107243821.27878,15821141892.62951,16534881734.70655,17168567484.57492,17910981185.56972,18712860619.42512,19733301668.57582,21124275032.77103,21594980960.24444,22417659743.28817,23387803922.57708,24053813243.65222,24674221649,25389533434.64955,26247499413.69741,27461703151.65726,28833560540.79009,30482787768.47828,32210233020.45692,33671222913.45479,34863580363.11514,36242614248.57564,37502066832.74033,37599547048.58411,38854942334.57685,40306867605.13642,41616173714.87321,43143796434.62789
